,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
2,-6686,354,355,1555.95,1587.0588,-207993.43679999982,-0.01999344451942542,2022-11-02 12:00:00,2022-11-02 16:00:00,0 days 04:00:00,11050
3,-6578,383,383,1550.0,1581.0102,-203985.09559999962,-0.020006580645161254,2022-11-07 08:00:00,2022-11-07 08:00:00,0 days 00:00:00,11050
0,7770,100,100,1286.92,1312.6686000000002,200066.62200000096,0.020007925900600076,2022-12-13 12:00:00,2022-12-13 12:00:00,0 days 00:00:00,11550
1,8382,144,154,1216.79,1192.4443999999999,-204064.81920000087,-0.020008053978090024,2022-12-20 20:00:00,2022-12-22 12:00:00,1 days 16:00:00,11550
2,8316,218,229,1201.94,1225.9788,199906.6608000003,0.020000000000000018,2023-01-02 04:00:00,2023-01-04 00:00:00,1 days 20:00:00,11550
3,6581,482,484,1549.22,1580.2044,203908.33640000032,0.020000000000000018,2023-02-15 04:00:00,2023-02-15 12:00:00,0 days 08:00:00,11550
0,6327,137,137,1580.33,1611.9365999999998,199974.958199999,0.019999999999999796,2023-03-13 00:00:00,2023-03-13 00:00:00,0 days 00:00:00,12050
1,-5501,298,309,1854.01,1891.0901999999999,-203978.18019999933,-0.020000000000000018,2023-04-08 20:00:00,2023-04-10 16:00:00,1 days 20:00:00,12050
2,-5044,362,364,1981.45,1941.8111999999999,199938.10720000087,0.020004945872971858,2023-04-19 12:00:00,2023-04-19 20:00:00,0 days 08:00:00,12050
0,-5337,143,145,1873.4,1798.464,399933.4320000008,0.040000000000000036,2023-06-05 08:00:00,2023-06-05 16:00:00,0 days 08:00:00,12550
1,5961,215,235,1744.62,1779.5226,208054.3986000007,0.020005846545379624,2023-06-17 08:00:00,2023-06-20 16:00:00,3 days 08:00:00,12550
2,-5706,273,276,1858.97,1896.1494000000002,-212145.65640000123,-0.020000000000000018,2023-06-27 00:00:00,2023-06-27 12:00:00,0 days 12:00:00,12550
3,-5569,280,292,1866.46,1903.7892,-207886.31479999944,-0.020000000000000018,2023-06-28 04:00:00,2023-06-30 04:00:00,2 days 00:00:00,12550
4,-5353,325,329,1902.97,1941.0192,-203677.36759999962,-0.019994639957539917,2023-07-05 16:00:00,2023-07-06 08:00:00,0 days 16:00:00,12550
5,-5346,370,372,1867.4,1904.748,-199662.40799999976,-0.020000000000000018,2023-07-13 04:00:00,2023-07-13 12:00:00,0 days 08:00:00,12550
6,-5073,395,428,1928.7,1851.5424,391420.5048,0.040004977445948,2023-07-17 08:00:00,2023-07-22 20:00:00,5 days 12:00:00,12550
0,5830,155,155,1715.0,1732.1399,99925.6169999994,0.00999411078717194,2023-08-29 16:00:00,2023-08-29 16:00:00,0 days 00:00:00,13050
1,6128,211,231,1648.11,1582.1855999999998,-403984.72320000065,-0.040000000000000036,2023-09-08 00:00:00,2023-09-11 08:00:00,3 days 08:00:00,13050
2,5985,248,250,1620.0,1636.2,96957.00000000028,0.010000000000000009,2023-09-14 04:00:00,2023-09-14 12:00:00,0 days 08:00:00,13050
3,6009,328,334,1629.63,1645.9364,97985.15759999964,0.010006197725864086,2023-09-27 12:00:00,2023-09-28 12:00:00,1 days 00:00:00,13050
